scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
174,A-D-G-H-I-J-K-L,D,G,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
175,A-D-F-H-I-J-K-L,D,F,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
176,A-D-F-G-I-J-K-L,D,F,I,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
177,A-D-F-G-H-J-K-L,D,F,H,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
178,A-D-F-G-H-I-K-L,D,F,H,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
179,A-D-F-G-H-I-J-L,D,F,H,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
180,A-D-F-G-H-I-J-K,D,F,H,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
181,A-D-E-H-I-J-K-L,D,H,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
182,A-D-E-G-I-J-K-L,D,G,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
183,A-D-E-G-H-J-K-L,D,H,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
184,A-D-E-G-H-I-K-L,D,H,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
185,A-D-E-G-H-I-J-L,D,H,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
186,A-D-E-G-H-I-J-K,D,H,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
187,A-D-E-F-I-J-K-L,D,F,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
